;tweet_id;label;task;task_num;event
0;'768078331560493056';0;before;1;creamfields
1;'767706206924316672';0;before;1;creamfields
2;'767058402472255489';0;before;1;creamfields
3;'764932541925171201';0;before;1;creamfields
4;'768554742905708544';1;before;1;creamfields
6;'704710613352783874';1;before;1;creamfields
7;'766778839745912833';1;before;1;creamfields
8;'767289010733588480';1;before;1;creamfields
10;'768468157623332868';0;before;1;creamfields
12;'765907567298183168';1;before;1;creamfields
13;'768444361122181120';0;before;1;creamfields
15;'768125022317731841';1;before;1;creamfields
16;'765874630418698240';0;before;1;creamfields
17;'767820510721875968';0;before;1;creamfields
18;'768383090616111108';1;before;1;creamfields
19;'767812603024408576';0;before;1;creamfields
20;'765668229750595584';0;before;1;creamfields
22;'768527325440962560';1;before;1;creamfields
25;'766034329579446272';1;before;1;creamfields
26;'768195757652533249';0;before;1;creamfields
27;'742416950513573888';1;before;1;creamfields
28;'764925892011421699';1;before;1;creamfields
29;'768215940005847040';1;before;1;creamfields
30;'768539487811018752';0;before;1;creamfields
32;'767689918038601728';1;before;1;creamfields
33;'764902454022512640';0;before;1;creamfields
34;'765592403734622208';0;before;1;creamfields
35;'766670591076208645';0;before;1;creamfields
36;'765896573188448257';1;before;1;creamfields
37;'766283788380938240';0;before;1;creamfields
38;'764880925922590720';1;before;1;creamfields
39;'768503944826028032';1;before;1;creamfields
40;'765645874890477568';1;before;1;creamfields
41;'768391017716416517';1;before;1;creamfields
44;'765071662605799424';1;before;1;creamfields
45;'768541686532284416';0;before;1;creamfields
49;'767758144915312640';1;before;1;creamfields
51;'768138204268683266';1;before;1;creamfields
53;'765655931933843456';0;before;1;creamfields
54;'767501050064633856';0;before;1;creamfields
56;'768560157240483840';1;before;1;creamfields
58;'765109212888363009';0;before;1;creamfields
59;'767639080154886144';0;before;1;creamfields
62;'767026683782242304';0;before;1;creamfields
63;'768156369321091072';0;before;1;creamfields
64;'765857429867360256';0;before;1;creamfields
66;'765228128700628992';0;before;1;creamfields
68;'767337863155449856';0;before;1;creamfields
69;'768451867303174144';0;before;1;creamfields
70;'765275131690291200';0;before;1;creamfields
72;'767789939765501952';0;before;1;creamfields
73;'766683428989337600';0;before;1;creamfields
74;'768434006358650880';0;before;1;creamfields
77;'733545528454045697';1;before;1;creamfields
78;'768479213510877184';0;before;1;creamfields
79;'767676521670639616';1;before;1;creamfields
80;'706554780345372673';1;before;1;creamfields
82;'768465683885748224';1;before;1;creamfields
84;'768562970112757760';0;before;1;creamfields
86;'767665908944932864';1;before;1;creamfields
87;'765267356847407104';0;before;1;creamfields
90;'766271304160972800';1;before;1;creamfields
91;'766816541941854208';0;before;1;creamfields
93;'768182894569271296';0;before;1;creamfields
95;'767127417580314624';1;before;1;creamfields
98;'768384226169352192';1;before;1;creamfields
100;'765264427566366720';0;before;1;creamfields
102;'767313041113411584';0;before;1;creamfields
104;'767828913925951488';0;before;1;creamfields
105;'768524593518829569';0;before;1;creamfields
107;'768469941490159616';0;before;1;creamfields
110;'766354912527716353';1;before;1;creamfields
111;'767304126900400128';1;before;1;creamfields
112;'767457886297522176';0;before;1;creamfields
113;'768167483677245440';0;before;1;creamfields
115;'767283451728912384';0;before;1;creamfields
117;'768518022726377472';1;before;1;creamfields
118;'766910253308993536';1;before;1;creamfields
120;'765850388604026881';0;before;1;creamfields
124;'766020537717972992';0;before;1;creamfields
125;'766938806322864128';0;before;1;creamfields
126;'767305064822239232';0;before;1;creamfields
129;'765935076236550144';0;before;1;creamfields
131;'766960065593171969';1;before;1;creamfields
132;'768215174004211712';1;before;1;creamfields
138;'765584444757536770';0;before;1;creamfields
140;'768172022522347520';0;before;1;creamfields
142;'767398736859463680';1;before;1;creamfields
146;'766669649710833664';0;before;1;creamfields
148;'766287932869271552';1;before;1;creamfields
150;'765214014062362624';0;before;1;creamfields
153;'768156808322121728';0;before;1;creamfields
159;'767125368805400580';0;before;1;creamfields
162;'767834386033156097';1;before;1;creamfields
163;'766348528469803009';1;before;1;creamfields
166;'764914207980740608';1;before;1;creamfields
170;'768071871321534464';1;before;1;creamfields
173;'766174627961905152';1;before;1;creamfields
174;'768134047235178496';0;before;1;creamfields
175;'766956291906502660';1;before;1;creamfields
176;'767027999136964608';0;before;1;creamfields
177;'767823666876932097';0;before;1;creamfields
178;'767071764224565248';1;before;1;creamfields
180;'768226105123807232';0;before;1;creamfields
182;'768231940843573248';1;before;1;creamfields
183;'767711017036120064';1;before;1;creamfields
185;'767820232354299904';0;before;1;creamfields
186;'768193738342559744';1;before;1;creamfields
188;'768134012028289024';1;before;1;creamfields
189;'768170164374343680';1;before;1;creamfields
197;'767796192738680832';1;before;1;creamfields
201;'765560868671221760';0;before;1;creamfields
202;'768139600472711169';1;before;1;creamfields
203;'768155285882109952';1;before;1;creamfields
205;'765478675106107392';0;before;1;creamfields
206;'767711845377531904';1;before;1;creamfields
209;'765545544009809921';0;before;1;creamfields
211;'765941892760600577';0;before;1;creamfields
213;'765211650727223296';0;before;1;creamfields
217;'767636522220843008';1;before;1;creamfields
218;'768535217258827776';1;before;1;creamfields
223;'766981434540191745';0;before;1;creamfields
225;'766590992585818112';0;before;1;creamfields
227;'765184209187110912';1;before;1;creamfields
229;'765204635804205057';0;before;1;creamfields
231;'766294976837935104';0;before;1;creamfields
234;'765672000635473920';1;before;1;creamfields
235;'764890742301069314';1;before;1;creamfields
237;'766971493385433088';1;before;1;creamfields
239;'768556237076172801';0;before;1;creamfields
241;'768381103484899329';0;before;1;creamfields
242;'766607898202009600';1;before;1;creamfields
245;'767752238123147264';1;before;1;creamfields
246;'766724184458272768';1;before;1;creamfields
247;'768104574188134401';1;before;1;creamfields
248;'765901407924916224';1;before;1;creamfields
253;'767398870364160001';0;before;1;creamfields
256;'768495990047375360';1;before;1;creamfields
257;'768462804076617728';0;before;1;creamfields
261;'765558927912206337';0;before;1;creamfields
268;'767051581426630657';0;before;1;creamfields
278;'767796454241005568';1;before;1;creamfields
279;'766008385401720833';0;before;1;creamfields
281;'766935528025579520';1;before;1;creamfields
284;'765928832314511360';0;before;1;creamfields
287;'768190275625820160';0;before;1;creamfields
296;'765553193325629440';0;before;1;creamfields
299;'767352472042168320';0;before;1;creamfields
300;'766629706749706241';1;before;1;creamfields
301;'765535463255965696';1;before;1;creamfields
302;'767705627267330048';0;before;1;creamfields
303;'765668373757849602';0;before;1;creamfields
304;'767835215620431873';0;before;1;creamfields
311;'765624615225917441';0;before;1;creamfields
312;'765973160621735936';0;before;1;creamfields
316;'765609111203569665';0;before;1;creamfields
317;'765510958387265536';1;before;1;creamfields
318;'765982609545592833';1;before;1;creamfields
319;'767683205675749377';0;before;1;creamfields
321;'767714651467571205';1;before;1;creamfields
322;'768117258782699524';1;before;1;creamfields
325;'768530448154779648';0;before;1;creamfields
328;'768127737647202304';0;before;1;creamfields
332;'768561764569145345';1;before;1;creamfields
333;'767699735889186818';0;before;1;creamfields
337;'766931759875362817';0;before;1;creamfields
341;'767762942888669184';0;before;1;creamfields
345;'766230499803205632';0;before;1;creamfields
351;'768186463179726848';1;before;1;creamfields
352;'768155098035916800';0;before;1;creamfields
354;'765527633236983808';1;before;1;creamfields
